condition_category,specific_condition,severity_level,control_status,duration_years,age_band,risk_tier,underwriting_decision,extra_loading_pct,additional_tests_required,max_sum_assured_inr,policy_types_available,notes
Cardiovascular,Hypertension,Mild,Well-controlled (BP ≤ 140/90),1–5 yrs,18–35,Standard–Class I,Accept,25,See notes,"INR 5,000,000","Term, Whole, Endowment, ULIP",Annual BP monitoring; treating physician report
Cardiovascular,Hypertension,Mild,Well-controlled (BP ≤ 140/90),1–5 yrs,36–45,Standard–Class I,Accept,8,See notes,"INR 5,000,000","Term, Whole, Endowment, ULIP",Annual BP monitoring; treating physician report
Cardiovascular,Hypertension,Mild,Well-controlled (BP ≤ 140/90),1–5 yrs,46–55,Standard–Class I,Accept,10,See notes,"INR 5,000,000","Term, Whole, Endowment, ULIP",Annual BP monitoring; treating physician report
Cardiovascular,Hypertension,Mild,Well-controlled (BP ≤ 140/90),1–5 yrs,56–65,Standard–Class I,Accept,6,See notes,"INR 5,000,000","Term, Whole, Endowment, ULIP",Annual BP monitoring; treating physician report
Cardiovascular,Hypertension,Moderate,Partially controlled (BP 140–160/90–100),Any,18–35,Class II,Accept with loading,50,See notes,"INR 2,500,000","Term, Whole, Endowment",Cardiologist report; ECG; lipid panel
Cardiovascular,Hypertension,Moderate,Partially controlled (BP 140–160/90–100),Any,36–45,Class II,Accept with loading,50,See notes,"INR 2,500,000","Term, Whole, Endowment",Cardiologist report; ECG; lipid panel
Cardiovascular,Hypertension,Moderate,Partially controlled (BP 140–160/90–100),Any,46–55,Class II,Accept with loading,50,See notes,"INR 2,500,000","Term, Whole, Endowment",Cardiologist report; ECG; lipid panel
Cardiovascular,Hypertension,Severe,Poorly controlled (BP > 160/100),Any,36–65,Class III,Accept with heavy loading or postpone,82,See notes,"INR 1,000,000","Term, Whole Life (limited)",Specialist workup; end-organ damage assessment
Cardiovascular,Coronary Artery Disease (post-MI > 5 years),Moderate,"Stable, on medication",5+ yrs post-event,36–55,Class II–III,Accept with loading,62,See notes,"INR 2,500,000","Term, Whole Life",Cardiologist report; ECG; 2D Echo; stress test; angiography report
Cardiovascular,Coronary Artery Disease (post-MI > 5 years),Moderate,"Stable, on medication",5+ yrs post-event,56–65,Class II–III,Accept with loading,57,See notes,"INR 2,500,000","Term, Whole Life",Cardiologist report; ECG; 2D Echo; stress test; angiography report
Cardiovascular,"Heart failure (compensated, EF > 40%)",Moderate,Stable on medication,Any,36–65,Class III,Accept with heavy loading,118,See notes,"INR 500,000",Whole Life (limited),Cardiologist opinion; 6-minute walk test; NYHA class assessment
Metabolic,Type 2 Diabetes,Mild,"HbA1c ≤ 7.5%, no complications",1–5 yrs,18–35,Class I–II,Accept with loading,40,See notes,"INR 5,000,000","Term, Whole, Endowment, ULIP",HbA1c; fasting glucose; renal function; urine microalbumin
Metabolic,Type 2 Diabetes,Mild,"HbA1c ≤ 7.5%, no complications",1–5 yrs,36–45,Class I–II,Accept with loading,42,See notes,"INR 5,000,000","Term, Whole, Endowment, ULIP",HbA1c; fasting glucose; renal function; urine microalbumin
Metabolic,Type 2 Diabetes,Moderate,"HbA1c 7.5–9.0%, no major complications",5–10 yrs,36–55,Class II,Accept with loading,69,See notes,"INR 2,500,000","Term, Whole, Endowment",Full metabolic panel; ophthalmology report; foot exam
Metabolic,Type 2 Diabetes,Severe,"HbA1c > 9%, with complications (nephropathy/retinopathy)",Any,36–65,Class III–IV,Accept with heavy loading or decline,115,See notes,"INR 1,000,000",Whole Life (limited),Nephrology + ophthalmology + cardiology reports required
Metabolic,Type 1 Diabetes,Moderate,"HbA1c ≤ 8%, no complications",Any,18–35,Class III,Accept with loading,79,See notes,"INR 2,500,000","Term, Whole Life",Endocrinologist report; HbA1c; full organ function panel
Metabolic,Type 1 Diabetes,Moderate,"HbA1c ≤ 8%, no complications",Any,36–45,Class III,Accept with loading,92,See notes,"INR 2,500,000","Term, Whole Life",Endocrinologist report; HbA1c; full organ function panel
Metabolic,Obesity,Mild (BMI 30–34.9),N/A,Any,18–45,Standard,Accept at standard rates,0,See notes,"INR 10,000,000",All products,No extra loading if no other metabolic risk factors
Metabolic,Obesity,Mild (BMI 30–34.9),N/A,Any,46–65,Standard,Accept at standard rates,0,See notes,"INR 10,000,000",All products,No extra loading if no other metabolic risk factors
Metabolic,Obesity,Severe (BMI 35–39.9),N/A,Any,18–45,Class I,Accept with loading,45,See notes,"INR 5,000,000","Term, Whole, Endowment, ULIP",BMI calculation; BP and metabolic screen
Metabolic,Obesity,Severe (BMI 35–39.9),N/A,Any,46–55,Class I,Accept with loading,46,See notes,"INR 5,000,000","Term, Whole, Endowment, ULIP",BMI calculation; BP and metabolic screen
Metabolic,Morbid Obesity (BMI ≥ 40),Severe,N/A,Any,18–45,Class II–III,Accept with loading or postpone,82,See notes,"INR 2,500,000","Term, Whole Life (limited)",Full medical evaluation; postpone if BMI > 45
Respiratory,Asthma,Mild (no hospitalisation ≥ 2 years),"Well-controlled, no systemic steroids",Any,18–35,Standard,Accept at standard rates,0,See notes,"INR 10,000,000",All products,Pulmonologist certificate if any recent hospitalisation
Respiratory,Asthma,Mild (no hospitalisation ≥ 2 years),"Well-controlled, no systemic steroids",Any,36–45,Standard,Accept at standard rates,0,See notes,"INR 10,000,000",All products,Pulmonologist certificate if any recent hospitalisation
Respiratory,Asthma,Mild (no hospitalisation ≥ 2 years),"Well-controlled, no systemic steroids",Any,46–55,Standard,Accept at standard rates,0,See notes,"INR 10,000,000",All products,Pulmonologist certificate if any recent hospitalisation
Respiratory,Asthma,Moderate–Severe,On systemic corticosteroids,Any,18–65,Class I–II,Accept with loading,25,See notes,"INR 5,000,000","Term, Whole, Endowment",PFT (spirometry); current treatment history
Respiratory,COPD (FEV1 > 60%),Mild–Moderate,On inhaler therapy,Any,46–65,Class II,Accept with loading,58,See notes,"INR 2,500,000","Term, Whole Life",PFT; chest X-ray; smoking history
Respiratory,COPD (FEV1 < 60%),Severe,On multiple medications,Any,46–65,Class III–IV,Accept with heavy loading or decline,101,See notes,"INR 1,000,000",Whole Life (limited),Respiratory specialist report; ongoing supplemental oxygen: decline
Oncology,Cancer (in remission < 3 years),Any,Under surveillance,< 3 yrs post-treatment,18–65,Postpone/Class IV,Postpone or decline,181,See notes,Nil,None (postpone),Revisit after 3 years in remission; some cancers: 5 years
Oncology,Cancer (in remission 3–5 years),Low-grade,Regular surveillance,3–5 yrs,18–55,Class III,Accept with heavy loading,97,See notes,"INR 2,500,000","Term, Whole Life",Oncologist clearance; type and stage dependent
Oncology,Cancer (in remission 3–5 years),Low-grade,Regular surveillance,3–5 yrs,56–65,Class III,Accept with heavy loading,99,See notes,"INR 2,500,000","Term, Whole Life",Oncologist clearance; type and stage dependent
Oncology,Cancer (in remission > 5 years),Most types,Clearance from oncologist,5+ yrs,18–65,Class II,Accept with loading,66,See notes,"INR 5,000,000","Term, Whole, Endowment",Ongoing monitoring reports; some cancers standard after 10 yrs
Oncology,"Skin cancer (basal cell only, excised)",Mild,Complete excision,Any,18–65,Standard,Accept at standard rates,0,See notes,"INR 10,000,000",All products,No extra loading; confirm pathology shows clear margins
Neurological,"Epilepsy (well-controlled, seizure-free ≥ 2 years)",Moderate,On anti-epileptic drugs,Any,18–45,Class II,Accept with loading,62,See notes,"INR 2,500,000","Term, Whole, Endowment",Neurologist report; seizure frequency; driving status
Neurological,"Epilepsy (well-controlled, seizure-free ≥ 2 years)",Moderate,On anti-epileptic drugs,Any,46–65,Class II,Accept with loading,55,See notes,"INR 2,500,000","Term, Whole, Endowment",Neurologist report; seizure frequency; driving status
Neurological,"Stroke/TIA (> 3 years ago, full recovery)",Moderate,No residual deficit,3+ yrs,46–65,Class II–III,Accept with loading,85,See notes,"INR 2,500,000",Whole Life (limited),Neurologist report; MRI brain; cognitive assessment
Renal,CKD Stage 1–2 (eGFR > 60),Mild,Stable,Any,18–55,Class I,Accept with loading,25,See notes,"INR 5,000,000","Term, Whole, Endowment",Renal function tests; urine microalbumin
Renal,CKD Stage 1–2 (eGFR > 60),Mild,Stable,Any,56–65,Class I,Accept with loading,25,See notes,"INR 5,000,000","Term, Whole, Endowment",Renal function tests; urine microalbumin
Renal,CKD Stage 3 (eGFR 30–60),Moderate,Stable on treatment,Any,36–65,Class II–III,Accept with loading,85,See notes,"INR 2,500,000",Whole Life (limited),Nephrologist report; dialysis risk assessment
Renal,CKD Stage 4–5 or on dialysis,Severe,N/A,Any,18–65,Decline,Decline,0,See notes,Nil,None,No coverage available at this stage
Mental Health,"Mild anxiety or depression (stable, no hospitalisation)",Mild,"On medication, stable ≥ 2 years",Any,18–45,Standard–Class I,Accept,3,See notes,"INR 5,000,000",All products,Treating psychiatrist report; stable employment/functioning
Mental Health,"Mild anxiety or depression (stable, no hospitalisation)",Mild,"On medication, stable ≥ 2 years",Any,46–65,Standard–Class I,Accept,2,See notes,"INR 5,000,000",All products,Treating psychiatrist report; stable employment/functioning
Mental Health,Moderate depression (1 hospitalisation > 2 years ago),Moderate,Stable on medication,Any,18–65,Class II,Accept with loading,67,See notes,"INR 2,500,000","Term, Whole, Endowment",Psychiatrist clearance; no active suicidal ideation
Mental Health,"Severe mental illness (schizophrenia, bipolar I)",Severe,On medication; not hospitalised ≥ 3 years,Any,18–55,Class III,Accept with loading or postpone,108,See notes,"INR 1,000,000",Whole Life (limited),Psychiatrist report; functioning and compliance assessment
Lifestyle,Non-smoker,N/A,Non-smoker (verified),N/A,18–65,Standard,Accept at standard rates,0,See notes,"INR 10,000,000",All products,Urine cotinine test if undisclosed; smoker rates apply if tested positive
Lifestyle,Current smoker (< 10 cigarettes/day),Low,Smoker rates,Current,18–65,Smoker Class I,Accept at smoker rates,38,See notes,"INR 10,000,000",All products,Urine cotinine test; cessation > 12 months qualifies for non-smoker rates
Lifestyle,Current smoker (≥ 10 cigarettes/day),High,Heavy smoker rates,Current,18–65,Smoker Class II,Accept at heavy smoker rates,57,See notes,"INR 5,000,000","Term, Whole, Endowment",Chest X-ray; spirometry if age > 45; additional loading if COPD
Occupational,Desk/office work,N/A,N/A,N/A,18–65,Standard,Accept at standard rates,0,See notes,"INR 10,000,000",All products,Lowest occupational risk class
Occupational,"Skilled manual work (driver, electrician, plumber)",Class C,N/A,N/A,18–60,Class I,Accept with loading,25,See notes,"INR 5,000,000",All products,Occupation declaration form required
Occupational,Mining / oil & gas / construction (high-risk sites),Class D,N/A,N/A,18–55,Class II,Accept with loading,56,See notes,"INR 5,000,000","Term, Whole, Endowment",Employer certificate; war exclusion if military
Occupational,Combat military / active bomb disposal / test pilot,Class E,N/A,N/A,18–45,Class III–IV,Accept with heavy loading or decline,103,See notes,"INR 2,500,000","Term (limited), Whole Life",War exclusion mandatory; higher loading; some scenarios: decline
